prediction_for,predicted_at,lead_minutes,predicted_arrivals,actual_arrivals,error,abs_error,predicted_wait_min,status,hour,day_of_week,date
2026-05-05 14:25:05.703631+00:00,2026-05-05 14:22:18.157213+00:00,2.8,12.3,11,1.3000000000000007,1.3000000000000007,15.5,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:27:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,2.8,11.8,13,-1.1999999999999993,1.1999999999999993,14.7,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:30:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,5.8,12.8,19,-6.199999999999999,6.199999999999999,30.9,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:33:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,8.8,12.9,12,0.9000000000000004,0.9000000000000004,47.2,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:36:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,11.8,13.1,15,-1.9000000000000004,1.9000000000000004,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:39:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,14.8,13.2,15,-1.8000000000000007,1.8000000000000007,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:42:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,17.8,13.3,5,8.3,8.3,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:45:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,20.8,13.4,9,4.4,4.4,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:48:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,23.8,13.4,3,10.4,10.4,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:51:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,26.8,13.5,10,3.5,3.5,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:54:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,29.8,13.4,13,0.40000000000000036,0.40000000000000036,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 14:57:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,32.8,13.6,27,-13.4,13.4,60.0,ALERT,14,Tuesday,2026-05-05
2026-05-05 15:00:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,35.8,13.4,15,-1.5999999999999996,1.5999999999999996,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:03:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,38.8,13.6,14,-0.40000000000000036,0.40000000000000036,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:06:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,41.8,13.6,13,0.5999999999999996,0.5999999999999996,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:09:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,44.8,13.6,10,3.5999999999999996,3.5999999999999996,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:12:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,47.8,13.7,23,-9.3,9.3,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:15:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,50.8,13.6,14,-0.40000000000000036,0.40000000000000036,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:18:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,53.8,13.6,19,-5.4,5.4,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:21:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,56.8,13.6,26,-12.4,12.4,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 15:24:25.432397+00:00,2026-05-05 14:24:37.654397+00:00,59.8,13.5,11,2.5,2.5,60.0,ALERT,15,Tuesday,2026-05-05
2026-05-05 16:04:36.781770+00:00,2026-05-05 16:01:49.745641+00:00,2.8,12.6,28,-15.4,15.4,0.0,OK,16,Tuesday,2026-05-05
2026-05-05 16:07:36.781770+00:00,2026-05-05 16:01:49.745641+00:00,5.8,12.8,20,-7.199999999999999,7.199999999999999,0.0,OK,16,Tuesday,2026-05-05
2026-05-05 16:09:18.249604+00:00,2026-05-05 16:08:05.737400+00:00,1.2,16.9,15,1.8999999999999986,1.8999999999999986,0.0,OK,16,Tuesday,2026-05-05
